fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00000887	MMT00001185	0.033801714083145	undirected	Gne	Nrarp
MMT00000887	MMT00002002	0.0303188572935008	undirected	Gne	Unc5b
MMT00000887	MMT00002575	0.0277073997400181	undirected	Gne	NA
MMT00000887	MMT00002758	0.0243981102835858	undirected	Gne	Prg4
MMT00000887	MMT00003081	0.0277095003052381	undirected	Gne	2310046G15Rik
MMT00000887	MMT00003994	0.0456915735542	undirected	Gne	Sparc
MMT00000887	MMT00004397	0.0343145490191029	undirected	Gne	NA
MMT00000887	MMT00006001	0.0272028705540416	undirected	Gne	Mogat1
MMT00000887	MMT00006230	0.0273369841007464	undirected	Gne	Npn3
MMT00000887	MMT00006315	0.0373569559919284	undirected	Gne	5031439A09Rik
MMT00000887	MMT00006709	0.025177160491521	undirected	Gne	Zfp521
MMT00000887	MMT00006713	0.0687559916657581	undirected	Gne	Ppic
MMT00000887	MMT00007042	0.0245323249085218	undirected	Gne	Aard
MMT00000887	MMT00007205	0.0308923487998007	undirected	Gne	BC029214
MMT00000887	MMT00007709	0.0264961516392247	undirected	Gne	Ehd2
MMT00000887	MMT00007847	0.0230583071894048	undirected	Gne	Gal3st1
MMT00000887	MMT00007859	0.0220518209711928	undirected	Gne	Npdc1
MMT00000887	MMT00007963	0.020751514648671	undirected	Gne	Sdcbp2
MMT00000887	MMT00008094	0.0215744214540056	undirected	Gne	Rtn1
MMT00000887	MMT00008463	0.033011232747976	undirected	Gne	Pdir
MMT00000887	MMT00009272	0.0254380695315366	undirected	Gne	9230112O05Rik
MMT00000887	MMT00009857	0.0278414737991082	undirected	Gne	Fbln2
MMT00000887	MMT00010412	0.0437204572417738	undirected	Gne	Serpina1d
MMT00000887	MMT00010542	0.0248641032143184	undirected	Gne	Col16a1
MMT00000887	MMT00010602	0.0278705419674595	undirected	Gne	Pea15
MMT00000887	MMT00010873	0.064204352897881	undirected	Gne	Atp8b2
MMT00000887	MMT00010907	0.0275080543888536	undirected	Gne	Zfp503
MMT00000887	MMT00011876	0.0267524083436226	undirected	Gne	0610039N19Rik
MMT00000887	MMT00012203	0.0271950666513393	undirected	Gne	4632428N05Rik
MMT00000887	MMT00012511	0.025399267363357	undirected	Gne	Cpxm1
MMT00000887	MMT00013100	0.0276062033172325	undirected	Gne	2810489O06Rik
MMT00000887	MMT00013203	0.0356427396805583	undirected	Gne	Mat1a
MMT00000887	MMT00013759	0.034455768346365	undirected	Gne	Sh3d4
MMT00000887	MMT00014558	0.0202728398592765	undirected	Gne	9030624L02Rik
MMT00000887	MMT00014730	0.0259997672439598	undirected	Gne	Pam
MMT00000887	MMT00015180	0.0245849627900645	undirected	Gne	1500041B16Rik
MMT00000887	MMT00015289	0.0217035773120953	undirected	Gne	Akr1b8
MMT00000887	MMT00015563	0.0200043594868079	undirected	Gne	Ppm1l
MMT00000887	MMT00015674	0.0236362438369679	undirected	Gne	Agpt2
MMT00000887	MMT00016835	0.0427291092616389	undirected	Gne	Gpld1
MMT00000887	MMT00017203	0.0301368450301964	undirected	Gne	Sept9
MMT00000887	MMT00017456	0.0396487288793671	undirected	Gne	E430007K15Rik
MMT00000887	MMT00018085	0.0395064792264257	undirected	Gne	C1qr1
MMT00000887	MMT00018479	0.0278350668301985	undirected	Gne	Slc39a14
MMT00000887	MMT00018643	0.0217247433264092	undirected	Gne	C86987
MMT00000887	MMT00018797	0.0223744067521445	undirected	Gne	Ccdc3
MMT00000887	MMT00019063	0.0331291834066074	undirected	Gne	Pcolce
MMT00000887	MMT00019191	0.0285771071322566	undirected	Gne	NA
MMT00000887	MMT00019744	0.0320030589354899	undirected	Gne	1300018K11Rik
