"","target_id","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"1","AT1G54100",3,17.6690532112779,4.56995727573794e-30,8.5709548706465e-26
"2","AT5G20250",5,21.3576156584435,3.97034952708278e-28,3.72319526902188e-24
"3","AT2G39800",5,23.8271474060795,1.17365113053557e-25,7.33727565106486e-22
"4","AT3G48360",7,30.2151803450893,2.20023621349386e-21,1.03163575460194e-17
"5","AT1G28330",5,23.6100932266057,1.09644472242718e-20,4.11276415382436e-17
"6","AT5G67480",3,16.0430782171721,2.22390366537409e-20,6.95155220734852e-17
"7","AT3G15450",2,12.7576885956329,1.06456990537871e-19,2.85228693933966e-16
"8","AT5G63160",5,22.4714957750194,2.07756604964993e-19,4.87059390764805e-16
"9","AT1G09500",3,9.60589365733588,1.11589559019625e-18,2.32540242157008e-15
"10","AT3G22235",3,16.9451978234438,1.2742656023549e-18,2.38988513721661e-15
"11","AT1G49130",2,11.3374423402407,3.14484205983192e-18,5.36195571201342e-15
"12","AT1G15125",4,19.2501199351683,4.458694896359e-18,6.96856856510109e-15
"13","AT5G60360",3,19.842579465523,1.28000273546239e-17,1.8466501002767e-14
"14","AT1G11260",2,11.4457060551058,1.91413320138357e-17,2.3952209049993e-14
"15","AT5G52310",3,18.4647801538023,1.91566587976484e-17,2.3952209049993e-14
"16","AT4G19420",3,15.0549056104825,2.59997286701588e-17,3.04765569505518e-14
"17","AT1G08930",2,12.3354268475741,2.78796229362574e-17,3.0757784009971e-14
"18","AT3G16240",2,12.7516505594059,3.84157654040751e-17,4.00270933418571e-14
"19","AT1G69530",4,15.2579491659852,5.39543598156249e-17,5.32586325443182e-14
"20","AT2G29350",3,13.3193139183507,1.03988401632292e-16,9.2871546314935e-14
"21","AT4G35770",5,17.2120210049311,1.02922812085674e-16,9.2871546314935e-14
"22","AT2G33380",2,10.8315654657482,1.10883874664564e-16,9.45285031515408e-14
"23","AT3G44300",2,8.77434293685708,3.08842575533159e-16,2.51840978440191e-13
"24","AT4G15530",7,33.7750933089705,3.65152193010662e-16,2.85351224163124e-13
"25","AT5G24770",1,8.12157949564068,4.38565487564225e-16,3.29011828770682e-13
"26","AT3G15356",1,6.43686045752909,5.2730110176064e-16,3.80366621673877e-13
"27","AT5G59320",1,6.59676356840016,8.71640562752246e-16,6.05467361274755e-13
"28","AT1G76990",4,18.0772950074011,1.15440215672427e-15,7.46579739633231e-13
"29","AT2G20670",2,11.298547830022,1.124215714788e-15,7.46579739633231e-13
"30","AT3G16530",1,6.44269404826034,1.28386889358025e-15,8.02632036636587e-13
"31","AT1G68520",2,12.7184194794439,1.36860822745416e-15,8.28007977609768e-13
"32","AT2G05100",3,19.541088938279,1.48965211648247e-15,8.73075795144650e-13
"33","AT4G27520",2,14.2741829216167,3.04172326757939e-15,1.72871272374095e-12
"34","AT1G78460",2,10.3339613234021,3.17454719084397e-15,1.75113625189055e-12
"35","AT3G47340",4,13.1415334384571,3.48193562167129e-15,1.86582007384129e-12
"36","AT4G14400",6,31.9604922059902,3.84455980571566e-15,2.00290886544992e-12
"37","AT1G65930",3,16.7965049239316,5.20145936573251e-15,2.63657757849495e-12
"38","AT5G14120",1,7.96050408276988,7.68046239695338e-15,3.79071242775949e-12
"39","AT4G35100",2,13.8595934104013,7.9747449997848e-15,3.83503442233241e-12
"40","AT1G80160",2,6.43699185957535,8.22068883437647e-15,3.85447547721827e-12
"41","AT5G01600",1,6.55076256893478,8.46971493419438e-15,3.87437813636136e-12
"42","AT5G66400",1,6.49922350351023,8.94567949469258e-15,3.99467187911808e-12
"43","AT2G43570",1,6.17692583505018,1.04721473765449e-14,4.56756102435116e-12
"44","AT2G41100",2,12.5647554666188,1.34187305372264e-14,5.63373489490132e-12
"45","AT3G11410",2,11.0785867272293,1.36119620160121e-14,5.63373489490132e-12
"46","AT5G53450",10,31.0138729799029,1.38177448768574e-14,5.63373489490132e-12
"47","AT1G04770",1,5.65501964097171,1.64994767069892e-14,6.58399331148047e-12
"48","AT5G49360",1,7.90564792885236,1.69381197079096e-14,6.61821739837176e-12
"49","AT1G21130",2,12.8498743089312,1.97142422746216e-14,7.54572681348016e-12
"50","AT5G22920",3,10.8474007534736,2.03575693337574e-14,7.63612425709239e-12
"51","AT5G02020",3,13.2036168508308,2.29295982610053e-14,8.43224736049322e-12
"52","AT1G75750",1,6.33810222693287,2.70485667228992e-14,9.75568978630719e-12
"53","AT1G11840",5,25.315221112393,2.99432044080392e-14,1.05959395975995e-11
"54","AT5G59310",1,6.3639255699821,3.61674706792498e-14,1.25614983812839e-11
"55","AT1G08980",4,17.6407955637268,3.76568998344188e-14,1.28410028435368e-11
"56","AT3G17790",1,6.19092208378099,3.93550374100804e-14,1.3180423689751e-11
"57","AT2G42540",1,7.31168343898169,4.1551064195011e-14,1.36717580522356e-11
"58","AT5G48850",1,5.68229953608172,4.285880047292e-14,1.38589103943037e-11
"59","AT1G02640",2,7.2700680329469,5.62514626908673e-14,1.78812912333426e-11
"60","AT1G24020",2,9.06556892290714,5.78508182213389e-14,1.80832015956868e-11
"61","AT3G56400",1,6.3145449401764,5.96072526213152e-14,1.8326787260865e-11
"62","AT4G21990",1,7.38928241875631,6.19174835475036e-14,1.87300387731198e-11
"63","AT3G57260",1,7.75133320240796,6.40379052804252e-14,1.90639827545139e-11
"64","AT1G52040",1,7.36314894493543,6.85109041009248e-14,1.99954547713579e-11
"65","AT3G08860",4,14.54607343226,7.03652367320513e-14,1.99954547713579e-11
"66","AT4G11320",2,8.58947095192952,7.03062891343199e-14,1.99954547713579e-11
"67","AT5G33370",1,3.64764623819763,7.29499599067601e-14,2.04205447470341e-11
"68","AT1G60190",1,5.8773395669605,7.62617802080099e-14,2.10336718794298e-11
"69","AT1G70410",5,22.8961046744138,9.99074945992651e-14,2.70387189817091e-11
"70","AT2G39030",1,6.59974966575578,1.00917639494515e-13,2.70387189817091e-11
"71","AT4G04610",1,7.3769860837505,1.07079620149757e-13,2.80985485616943e-11
"72","AT5G15970",1,8.13048812207408,1.07869661233911e-13,2.80985485616943e-11
"73","AT1G36370",2,9.21410491071219,1.19922910669079e-13,3.0810331364364e-11
"74","AT3G13750",3,13.9459705704188,1.23680532028523e-13,3.13463294350669e-11
"75","AT1G29670",2,12.3864042708729,1.2845375616805e-13,3.2122002625757e-11
"76","AT3G56275",3,8.31964641243535,1.36994695449379e-13,3.38070462256988e-11
"77","AT4G34150",3,13.4524284216372,1.44540882643913e-13,3.52060292725531e-11
"78","AT2G15890",2,10.8158364400418,1.54976326189824e-13,3.70738033557548e-11
